item	layer	value
GC_00003339	SA_INS2T3110A98_Peru_1998	1
GC_00003339	SA_INS2T3116A98_Peru_1998	1
GC_00003339	SA_INS2T421A91_Peru_1991	1
GC_00003339	SA_INS2T422A91_Peru_1991	1
GC_00003339	SA_INS2T424A91_Peru_1991	1
GC_00003339	SA_INS2T4803A92_Peru_1992	1
GC_00003339	SA_INS2T4804A92_Peru_1992	1
GC_00003339	SA_INS2T4860A92_Peru_1992	1
GC_00003339	SA_INS2T4867A92_Peru_1992	1
GC_00003339	SA_INS2T509A03_Peru_2003	1
GC_00003339	SA_INS2T549A95_Peru_1995	1
GC_00003339	SA_INS2T7566A92_Peru_1992	1
GC_00003339	SA_INS2T7577A92_Peru_1992	1
GC_00003339	SA_INS2T844A91_Peru_1991	1
GC_00003339	SA_INS3T225A95_Peru_1995	1
GC_00003339	SA_INS3T226A95_Peru_1995	1
GC_00003339	SA_INS4T148A99_Peru_1999	1
GC_00003339	SA_INS5T580A14_Peru_2014	1
GC_00003339	SA_INS5T8543A92_Peru_1992	1
GC_00003339	SA_VC135_Brazil_1993	1
GC_00003339	SA_VC153_Brazil_1991	1
GC_00003339	SA_VC20_Brazil_1993	1
GC_00003339	SA_VC394_Brazil_1996	1
GC_00003339	SA_VC450_Brazil_1993	1
GC_00003339	SA_VC50_Brazil_1995	1
GC_00003339	SA_VC588_Brazil_1999	1
GC_00003339	SA_VC641_Brazil_1996	1
GC_00003339	SA_VC655_Brazil_1994	1
GC_00003339	SA_VC669_Brazil_1993	1
GC_00003339	SA_VC726_Brazil_1992	1
GC_00003339	SA_VC894_Brazil_1994	1
GC_00003339	SA_VC897_Brazil_1994	1
GC_00003339	SA_VC898_Brazil_1993	1
GC_00003339	SA_VC905_Brazil_1992	1
GC_00003339	SA_VC908_Brazil_1991	1
GC_00003339	SC_ERR018146_Colombia_1992	1
GC_00003339	SC_ERR018148_Colombia_1992	1
GC_00003339	SC_ERR018149_Colombia_1992	1
GC_00003339	SC_ERR018156_Colombia_1992	1
GC_00003339	SC_ERR018158_Argentina_1992	1
GC_00003339	SC_ERR018159_Mexico_1991	1
GC_00003339	SC_ERR018160_Bolivia_1992	1
GC_00003339	SC_ERR018161_Mexico_1991	1
GC_00003339	SC_ERR018167_Argentina_1992	1
GC_00003339	SC_ERR018168_Argentina_1992	1
GC_00003339	SC_ERR018169_Vietnam_1989	0
GC_00003339	SC_ERR018171_Vietnam_1989	0
GC_00003339	SC_ERR018177_Bangladesh_1987	0
GC_00003339	SC_ERR018181_Argentina_1993	1
GC_00003339	SC_ERR018189_India_1980	0
GC_00003339	SC_ERR025378_Peru_1991	1
GC_00003339	SC_ERR025381_Angola_1989	1
GC_00003339	SC_ERR025383_Bangladesh_1979	0
GC_00003339	SC_ERR025388_Peru_1991	1
GC_00003339	SC_ERR025389_Peru_1991	1
GC_00003339	SC_ERR025390_Peru_1991	1
GC_00003339	SC_ERR044780_Mexico_1991	1
GC_00003339	SC_ERR044782_Mexico_1992	1
GC_00003339	SC_ERR044784_Mexico_1993	1
GC_00003339	SC_ERR044787_Mexico_1994	1
GC_00003339	SC_ERR044788_Mexico_1995	1
GC_00003339	SC_ERR108518_Mexico_1999	0
GC_00003339	SC_ERR108522_Mexico_2000	0
GC_00003339	SC_ERR108535_Mexico_2004	1
GC_00003339	SC_ERR108536_Mexico_2005	1
GC_00003339	SC_ERR108537_Mexico_2006	1
GC_00003339	SC_ERR163233_Mexico_1991	1
GC_00003339	SC_ERR163234_Mexico_1991	1
GC_00003339	SC_ERR163235_Mexico_1991	1
GC_00003339	SC_ERR163236_Mexico_1991	1
GC_00003339	SC_ERR163237_Mexico_1991	1
GC_00003339	SC_ERR163238_Mexico_1992	1
GC_00003339	SC_ERR163239_Mexico_1992	1
GC_00003339	SC_ERR163245_Mexico_2004	1
GC_00003339	SC_ERR163246_Mexico_2004	1
GC_00003339	SC_ERR163247_Mexico_2004	1
GC_00003339	SC_ERR163248_Mexico_2004	1
GC_00003339	SC_ERR163249_Mexico_2007	1
GC_00003339	SC_ERR163253_Mexico_2008	1
GC_00003339	SC_ERR163254_Mexico_2008	1
GC_00003339	SC_ERR163255_Mexico_2008	1
GC_00003339	SC_ERR163256_Mexico_2008	1
GC_00003339	SC_ERR163259_Mexico_2010	1
GC_00003339	SC_ERR163260_Mexico_2010	1
GC_00003339	SC_ERR163263_Mexico_2010	1
GC_00003339	SC_ERR163268_Mexico_2010	1
GC_00003339	SC_ERR163271_Mexico_2010	1
GC_00003339	SC_ERR1877619_Uganda_1992	1
GC_00003339	SC_ERR1877636_Uganda_1992	1
GC_00003339	SC_ERR1879384_Cote_dIvoire_1988	1
GC_00003339	SC_ERR1879435_Cote_dIvoire_1988	1
GC_00003339	SC_ERR1879535_Cote_dIvoire_1988	1
GC_00003339	SC_ERR1879542_Cote_dIvoire_1988	1
GC_00003339	SC_ERR1879552_Sao_Tome_1989	1
GC_00003339	SC_ERR1879554_French_Guiana_1993	1
GC_00003339	SC_ERR1879571_Sri_Lanka_1981	0
GC_00003339	SC_ERR1879578_French_Guiana_1994	1
GC_00003339	SC_ERR1879579_Ecuador_1995	1
GC_00003339	SC_ERR1879657_Nigeria_1997	1
GC_00003339	SC_ERR2008340_Mexico_1991	1
GC_00003339	SC_ERR2008343_Mexico_1991	1
GC_00003339	SC_ERR2008344_Mexico_1991	1
GC_00003339	SC_ERR2008345_Mexico_1991	1
GC_00003339	SC_ERR2008346_Mexico_1991	1
GC_00003339	SC_ERR2008347_Mexico_1991	1
GC_00003339	SC_ERR2008348_Mexico_1992	1
